original_index,Brand,Perfume,image_url
12914,mugler,alien,https://inter.mugler.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-mugler-master-catalog/default/dwfb13e936/images/pdp/M020604363/3614274289466-alien-extraintense-eau-de-parfum-intense-60ml-main.png
12915,https://www.fragrantica.com/perfume/mugler/alien-mirage-59292.html,alien-mirage,mugler,France,women,4,639,2020.0,"mineral notes, pink pepper","lotus, syringa","hinoki wood, white amber",unknown,,mineral,woody,white floral,floral,aromatic,https://perfumeonline.ca/cdn/shop/products/Alien-Mirage_1024x1024.png?v=1640170105
1812,mugler,angel,https://inter.mugler.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-mugler-master-catalog/default/dw4609fb00/images/pdp/M010101003/3439600056532-angel-eau-de-parfum-50ml-alt1.jpg
7457,dolce-gabbana,light-blue,https://cdn.shopify.com/s/files/1/0259/7733/products/dolce_light_blue_100ml_womens_1024x1024.jpg?v=1531090098
17145,chanel,coco-mademoiselle,NOT_FOUND
2746,lancome,la-vie-est-belle,https://m.media-amazon.com/images/I/710fa-Et8LL.jpg
9859,tom-ford,black-orchid,https://thumbs.dreamstime.com/b/bottle-tom-ford-black-orchid-perfume-white-background-bottle-tom-ford-black-orchid-perfume-white-background-370149255.jpg
10579,yves-saint-laurent,black-opium,https://www.sephora.it/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwbcf6b1a0/images/hi-res/SKU/SKU_1/306747_swatch.jpg
16127,dior,hypnotic-poison,https://perfumiaperu.com/cdn/shop/files/Hypnotic_Poison.png?v=1746824801
5691,dior,j-adore,https://perfumedubai.com/cdn/shop/products/3348901521512_1024x1024.jpg?v=1707504018
8729,dior,sauvage,https://thumbs.dreamstime.com/b/bottle-toilet-water-sauvage-white-background-christian-dior-st-petersburg-russia-march-product-209983532.jpg
20211,tom-ford,tobacco-vanille,https://img.fragrancex.com/images/products/sku/large/tfto17wv.jpg
21199,hermes,terre-d-hermes,https://www.elpalaciodehierro.com/on/demandware.static/-/Sites-palacio-master-catalog/default/dwbc3984cb/images/17536757/large/17536757_x1.jpg
10241,versace,crystal-noir,https://www.perfumenz.co.nz/cdn/shop/files/versace-crystal-noir-parfum-90ml_5caf3491-f069-4533-9776-7daf4b9abf95_1540x1540.png?v=1734293879
15885,versace,eros,https://www.shutterstock.com/image-photo/sorowako-indonesia-august-2-2022-260nw-2231456051.jpg
7125,calvin-klein,euphoria,https://www.shutterstock.com/image-photo/los-angeles-ca-april-4-260nw-2285000633.jpg
8137,maison-francis-kurkdjian,baccarat-rouge-540,https://dimg.dillards.com/is/image/DillardsZoom/zoom/maison-francis-kurkdjian-baccarat-rouge-540-eau-de-parfum/00000001_zi_20520865.jpg
4476,versace,bright-crystal,https://thumbs.dreamstime.com/b/versace-perfume-bottle-reflection-white-background-bottle-versace-perfume-white-background-170738737.jpg?w=768
11201,chloe,chloe-eau-de-parfum,https://wallpapers.com/images/hd/chloe-eau-de-parfum-white-backdrop-j34ql4bj3358j6hx.jpg
22149,creed,aventus,https://manzara-eg.com/cdn/shop/files/CREED.jpg?v=1752092853
23230,yves-saint-laurent,la-nuit-de-l-homme,http://acdn.mitiendanube.com/stores/001/066/168/products/perfume-yves-saint-laurent-la-nuit-de-l-homme-edt-100ml-masculino1-aabc44f5640803b4ee16614582690630-640-0.jpg
18962,lalique,encre-noire,https://static.chemistwarehouse.com.au/ams/media/pi/120912/F2D_200.jpg
4468,paco-rabanne,1-million,https://www.womperfume.com/cdn/shop/files/1-million-edt-paco-rabanne_1400x_aecae41a-6a6a-4169-bce5-d202fdaf26e6_640x640.webp?v=1751879152
16824,giorgio-armani,acqua-di-gio,https://i.ebayimg.com/images/g/HT4AAOSwEuBfLWtJ/s-l500.jpg
13365,jean-paul-gaultier,le-male,https://farmalife.vteximg.com.br/arquivos/ids/176509-1200-1200/JPG65156533.jpg?v=637812592598330000
13972,dior,fahrenheit,https://hrd-live.cdn.scayle.cloud/images/dd0e907ca52e8c7405ec8cd6a2bf7f7b.jpg?brightness=1&width=922&height=1230&quality=75&bg=ffffff
23588,dior,dior-homme-intense-2011,https://fimgs.net/mdimg/perfume/social.13016.jpg
10243,viktor-rolf,flowerbomb,https://www.sephora.com/productimages/sku/s1377159-main-zoom.jpg
13667,narciso-rodriguez,narciso-rodriguez-for-her,https://www.narcisorodriguezparfums.com/dw/image/v2/BCMQ_PRD/on/demandware.static/-/Sites-itemmaster_narcisorodriguez/default/dw9610a014/for-her-edt/narciso-rodriguez-for-her-eau-de-toilette-perfume-3.jpg?sw=684&sh=738&sm=cut&q=100
18648,chanel,bleu-de-chanel,https://thumbs.dreamstime.com/b/bottle-bleu-de-chanel-perfume-bangkok-thailand-dec-bottle-bleu-de-chanel-perfume-white-background-264301254.jpg
9763,carolina-herrera,good-girl,NOT_FOUND
6541,dolce-gabbana,d-g-anthology-l-imperatrice-3,https://www.sephora.com/productimages/sku/s1209907-main-zoom.jpg
6863,giorgio-armani,si,https://i.pinimg.com/originals/71/70/71/7170714dd310a6569e01568325ede823.jpg
17144,chanel,chance-eau-tendre,http://atlas-content-cdn.pixelsquid.com/stock-images/chanel-chance-eau-tendre-parfum-bottle-perfume-e1XJlJ2-600.jpg
6837,calvin-klein,ck-one,https://fimgs.net/mdimg/perfume/375x500.276.jpg
18355,armaf,club-de-nuit-intense-man,https://media.thescentbase.com/perfumes/club-de-nuit-intense-man-limited-edition-parfum-2024-armaf.jpg
12871,guerlain,shalimar-eau-de-parfum,https://media.sephora.eu/content/dam/digital/pim/published/G/GUERLAIN/205751/69193-media_swatch.jpg?scaleWidth=585&scaleHeight=585&scaleMode=fit
21420,versace,versace-pour-homme,https://cdn.shopify.com/s/files/1/0259/7733/products/versace-homme-200ml_1024x1024.png?v=1581372653
18163,versace,versace-pour-homme-dylan-blue,https://i5.walmartimages.com/seo/Versace-Dylan-Blue-Eau-De-Toilette-Cologne-for-Men-3-4-oz_00b5961c-9f3a-4b13-a3de-28f80ceaec64.8faa4ec996012f9f19be9c782fb0a3b9.jpeg
14350,dior,pure-poison,https://thescented.ca/cdn/shop/products/original_e30c8eea-395a-4bdf-8208-713633872536.jpg?v=1683815740
7458,dolce-gabbana,the-one,https://i.pinimg.com/originals/81/ae/b3/81aeb36d3d9405f7bedb8025ef783225.jpg
11601,lolita-lempicka,lolita-lempicka,https://i.pinimg.com/originals/62/1d/3c/621d3c3c21865d4e49e1156382ce9811.jpg
20439,maison-martin-margiela,by-the-fireplace,https://i.pinimg.com/originals/e1/46/97/e14697f8938fe2c3977f7332ff9a6f83.jpg
8723,davidoff,cool-water,https://i5.walmartimages.com/asr/60408f85-7cca-48b6-a579-13a631fc0783.19c3361b704269b662982a9949fcd69f.png?odnWidth=612&odnHeight=612&odnBg=ffffff
5463,prada,prada-candy,https://i.pinimg.com/originals/f7/13/24/f71324c6753fcdfd5ed9ed9ddae4711c.jpg
22695,yves-saint-laurent,y-eau-de-parfum,https://cdn.shopify.com/s/files/1/0259/7733/products/ysl-y-le-parfum-100ml_1024x1024.png?v=1623892166
2208,donna-karan,dkny-be-delicious,https://a.allegroimg.com/original/1124fa/240b46d34217bb9cebaa404b5696/DKNY-DONNA-KARAN-BE-DELICIOUS-DAMSKA-PARFEMOVANA-VODA-50-ml
